"QLogin_1","Item","Segmented","lines","response_num","response","J1_Rating","J2_Rating","J3_Rating","J4_Rating"
"hY8DrnuO","paperclip","unsegmented",5,1,"bookmark",1,4,2,1
"KmUX88nb","paperclip","unsegmented",5,4,"bookmark",1,4,2,1
"UUCR5rl5","paperclip","unsegmented",10,7,"bookmark",1,4,2,1
"y86m7fS0","paperclip","segmented",10,6,"bookmark",1,4,2,1
"4RcV7Sp1","paperclip","unsegmented",5,9,"bracelet",4,3,2,2
"n0jCAZ1s","paperclip","segmented",5,6,"Bracelet",4,3,2,2
"Rl8IcXro","paperclip","segmented",15,4,"bracelet ",4,3,2,2
"D51VgBRW","paperclip","unsegmented",15,9,"bread checker",NA,4,4,2
"9mlyecrJ","paperclip","unsegmented",5,7,"burn and use as",NA,NA,1,NA
"3vBR15MO","paperclip","unsegmented",5,3,"Business Card Stand",4,3,4,2
"w2E2r112","paperclip","segmented",5,4,"button",4,3,2,1
"zdyei4a2","paperclip","unsegmented",10,1,"button",4,3,2,1
"U4KevCk0","paperclip","unsegmented",15,4,"button repair",4,3,2,1
"w2E2r112","paperclip","segmented",5,6,"c",NA,NA,NA,1
"iVOZgWb9","paperclip","segmented",15,4,"Cable Twist ",3,3,3,2
"4RcV7Sp1","paperclip","unsegmented",5,7,"cake tester",5,4,3,2
"EqZE362k","paperclip","unsegmented",15,6,"calendar holder",1,4,4,2
"Fh8745VU","paperclip","segmented",15,2,"Can be used as a fastener",1,4,1,1
"Fh8745VU","paperclip","segmented",15,3,"Can be used as a paper clip",1,1,1,1
"Fh8745VU","paperclip","segmented",15,5,"Can be used as a projectile",5,1,3,1
"Fh8745VU","paperclip","segmented",15,1,"Can be used to apply crazy glue",4,2,4,2
"Fh8745VU","paperclip","segmented",15,6,"Can be used to clean tight places",4,3,2,2
"Fh8745VU","paperclip","segmented",15,7,"Can be used to etch designs in clay",5,3,3,2
"Fh8745VU","paperclip","segmented",15,4,"Can be used to fasten a propeller to a toy airplane",5,3,4,3
"Fh8745VU","paperclip","segmented",15,8,"Can be used to give weight to a paper toy",5,2,4,2
"Fh8745VU","paperclip","segmented",15,9,"Can be used to hold ",NA,1,1,1
"989BoJRx","paperclip","unsegmented",5,3,"Can be used to make a sling shot.",5,NA,4,2
"3vBR15MO","paperclip","unsegmented",5,8,"Cat Toy (dangle on string)",5,5,2,3
"9Vtree6i","paperclip","segmented",15,5,"cd/dvd door opener",NA,4,2,2
"9Vtree6i","paperclip","segmented",15,4,"cell phone sim card door opener",5,3,2,2
"714kNX5M","paperclip","segmented",5,5,"cellphone/electronic device resetter tool",5,4,2,2
"Lec2y841","paperclip","segmented",15,6,"chain",3,3,1,1
"l976kyQ1","paperclip","segmented",10,1,"chain link",3,3,1,1
"FdOMf9nm","paperclip","segmented",15,6,"chain link ",3,3,1,1
"iC3RI2p2","paperclip","segmented",5,8,"chain necklace",4,2,1,2
"y5XIy25u","paperclip","unsegmented",5,6,"chain necklaces",4,2,1,2
"9mlyecrJ","paperclip","unsegmented",5,6,"chain together to make necklace or cloth",4,2,1,2
"5vOtwDx3","paperclip","segmented",15,4,"change it to the letter S",5,2,2,2
"3vBR15MO","paperclip","unsegmented",5,9,"Cheap Hair Clip",3,3,2,2
"EqZE362k","paperclip","unsegmented",15,9,"cherry pit remover",5,4,1,2
"iC3RI2p2","paperclip","segmented",5,2,"chip bag clip",1,3,1,2
"g5uvlF2v","paperclip","segmented",5,2,"clean a carburetor on a lawn mower",5,4,3,3
"435BgI61","paperclip","unsegmented",15,7,"clean a surfa",NA,NA,2,1
"jZeyKHnS","paperclip","unsegmented",5,5,"clean crumbs out of keyboard 5",4,4,2,2
"0vNR3LcA","paperclip","unsegmented",5,5,"clean ears",2,3,2,2
"zV3626L0","paperclip","segmented",10,3,"clean ears",2,3,2,2
"o65EfhY5","paperclip","segmented",10,1,"clean fingernails",2,3,2,2
"y5XIy25u","paperclip","unsegmented",5,3,"clean fingernails",2,3,2,2
"6gNs42nt","paperclip","segmented",15,2,"clean grout",4,3,2,2
"LUdy216o","paperclip","unsegmented",15,6,"Clean lime from faucet",4,3,2,3
"7TsEhr8Z","paperclip","segmented",5,4,"Clean nails",2,3,2,2
"G1u8Znj3","paperclip","unsegmented",10,5,"clean out cracks",2,3,2,2
"LUdy216o","paperclip","unsegmented",15,2,"Clean the opening of a clogged bottle",4,3,2,2
"Y25HD9n2","paperclip","unsegmented",5,2,"clean under nails",2,3,2,2
"o72ZrbMG","paperclip","unsegmented",5,5,"clean underneath your nails",2,3,2,2
"jZeyKHnS","paperclip","unsegmented",5,6,"clean wax out of ear canal 6",2,3,2,2
"c73oB20h","paperclip","unsegmented",10,3,"clean your nails",2,3,2,2
"yi89Nvu5","paperclip","unsegmented",10,4,"clean your nails",2,3,2,2
"UUx7idJG","paperclip","segmented",15,2,"clean your teeth",1,3,2,2
"HcYiggdZ","paperclip","unsegmented",10,2,"cleaner for small places",2,3,2,1
"dmIgzB0X","paperclip","unsegmented",5,4,"cleaning a pipe",4,3,2,2
"1zNzBi5Y","paperclip","unsegmented",10,4,"cleaning ears out but be careful",2,3,3,2
"nNBNu992","paperclip","segmented",5,5,"cleaning tight spaces",2,3,2,2
"zdyei4a2","paperclip","unsegmented",10,3,"cleaning tip",2,3,2,1
"g5uvlF2v","paperclip","segmented",5,1,"clip  papers",1,1,1,1
"LN1p6396","paperclip","unsegmented",5,1,"clip paper",1,1,1,1
"iVOZgWb9","paperclip","segmented",15,1,"Clip paper together ",1,1,1,1
"25D5c5m2","paperclip","segmented",10,6,"clip papers",1,1,1,1
"Lec2y841","paperclip","segmented",15,1,"clip papers",1,1,1,1
"zV3626L0","paperclip","segmented",10,1,"clip papers",1,1,1,1
"7TsEhr8Z","paperclip","segmented",5,1,"Clip Papers together",1,1,1,1
"j2pr9SC4","paperclip","segmented",15,2,"clip papers together",1,1,1,1
"9mlyecrJ","paperclip","unsegmented",5,1,"Clip papers together, reach into small space",1,1,1,1
"LUdy216o","paperclip","unsegmented",15,7,"Clip together for b",1,1,1,NA
"o72ZrbMG","paperclip","unsegmented",5,4,"clip together papers",1,1,1,1
"P3oBZCkA","paperclip","segmented",15,1,"clipping papers together",1,1,1,1
"5vOtwDx3","paperclip","segmented",15,6,"close a bag of chips",2,3,1,2
"M01qi2vc","paperclip","unsegmented",10,4,"clothes hanger after washing clothes",4,3,2,2
"HcYiggdZ","paperclip","unsegmented",10,5,"coffee stirrer",2,4,3,2
"K4mPL0l6","paperclip","unsegmented",10,5,"compass",5,4,4,2
"FdOMf9nm","paperclip","segmented",15,4,"cone incense holder/stand ",5,4,5,2
"fpSd88hY","paperclip","segmented",5,3,"connect 2 terminals of a battery together to test battery strength",5,5,3,3
"X5hX4YgF","paperclip","unsegmented",15,1,"Connection",NA,5,1,1
"n0jCAZ1s","paperclip","segmented",5,7,"Connector",NA,5,1,1
"uirMt5sS","paperclip","unsegmented",15,2,"Construction Material",2,3,3,1
"RnAQze77","paperclip","segmented",15,7,"cookie",1,1,3,1
"K883nL64","paperclip","segmented",5,5,"cord organiser",3,4,3,1
"9Vtree6i","paperclip","segmented",15,3,"crafting christmas ornament ",5,3,2,2
"tt22103X","paperclip","segmented",10,4,"Create a mini-sculpture",5,4,2,2
"7hi72B6r","paperclip","unsegmented",15,5,"crevace cleaner",1,3,2,2
"4HiPU3ch","paperclip","unsegmented",15,4,"Crown",3,3,3,2
"K4mPL0l6","paperclip","unsegmented",10,7,"cufflink",5,3,4,2
"Jc1pC053","paperclip","unsegmented",10,2,"Cut into pieces",1,1,1,1
"3fDKk8eo","paperclip","segmented",10,7,"cuticle pusher",1,3,2,2
"8exnS05w","paperclip","segmented",10,5,"cutting tool",1,5,3,1
"4e855288","paperclip","unsegmented",15,2,"decoration",2,3,1,1
"t8r41bz3","paperclip","unsegmented",10,5,"Decoration",2,3,1,1
"Dw04qHCX","paperclip","segmented",15,5,"demonstrate magnetism",4,3,2,2
"IT6ztEpf","paperclip","segmented",15,1,"Dental tool",1,3,2,2
"1t6sPcAP","paperclip","segmented",15,4,"Design",2,3,1,1
"nStEJbi0","paperclip","unsegmented",15,5,"Design building models while laying flat on a table",4,3,3,1
"714kNX5M","paperclip","segmented",5,4,"device used to clean under finger nails",1,3,2,2
"v913q7UQ","paperclip","unsegmented",15,3,"Dig dirt out from underneath nails",1,3,2,2
"jZeyKHnS","paperclip","unsegmented",5,3,"dig out splinters 3",2,3,2,1
"G1u8Znj3","paperclip","unsegmented",10,6,"dig s",NA,3,2,1
"y5XIy25u","paperclip","unsegmented",5,2,"dig things out of small holes",2,3,2,1
"K5j720Ym","paperclip","segmented",5,2,"drawing",5,4,2,1
"8exnS05w","paperclip","segmented",10,7,"dream catcher decoration",5,4,1,3
"l976kyQ1","paperclip","segmented",10,3,"Ear rings",4,4,2,2
"tt22103X","paperclip","segmented",10,1,"Ear scratcher",1,4,2,1
"K883nL64","paperclip","segmented",5,3,"earing",4,3,2,2
"184nBf5b","paperclip","unsegmented",5,3,"earring",4,3,2,2
"4RcV7Sp1","paperclip","unsegmented",5,5,"earring",4,3,2,2
"7Lo5m3w8","paperclip","unsegmented",15,1,"Earring",4,3,2,2
"b52wN2J4","paperclip","segmented",10,5,"earring",4,3,2,2
"BaQk6mT1","paperclip","unsegmented",5,1,"earring",4,3,2,2
"D51VgBRW","paperclip","unsegmented",15,8,"earring",4,3,2,2
"G63FgMsT","paperclip","unsegmented",10,1,"earring",4,3,2,2
"OpGVLc2i","paperclip","unsegmented",5,5,"earring",4,3,2,2
"UUCR5rl5","paperclip","unsegmented",10,1,"earring",4,3,2,2
"w2E2r112","paperclip","segmented",5,5,"earring",4,3,2,2
"zI5OmzVB","paperclip","segmented",10,6,"earring",4,3,2,2
"n0jCAZ1s","paperclip","segmented",5,2,"Earrings",4,3,2,2
"y5XIy25u","paperclip","unsegmented",5,5,"earrings",4,3,2,2
"y86m7fS0","paperclip","segmented",10,1,"earrings",4,3,2,2
"xIQ673M9","paperclip","unsegmented",5,7,"Elastic band launcher",5,2,3,2
"ZF13l8N3","paperclip","unsegmented",5,5,"electric conductor",5,5,2,2
"B2edM796","paperclip","segmented",5,5,"electrical conduit",5,5,2,2
"ec4h4OE3","paperclip","segmented",10,3,"electronics reset button presser",5,4,2,2
"xIQ673M9","paperclip","unsegmented",5,1,"End plate for magnet",4,3,3,2
"n0jCAZ1s","paperclip","segmented",5,4,"Engraver",4,4,4,2
"6xuQ1Z9X","paperclip","segmented",15,2,"entertainment to kids ",3,2,2,1
"hY8DrnuO","paperclip","unsegmented",5,4,"extend necklace length",4,2,2,1
"EqZE362k","paperclip","unsegmented",15,2,"eye glass repair",4,4,2,2
"euaMDyU7","paperclip","segmented",15,8,"eyeclas",NA,NA,2,1
"RnAQze77","paperclip","segmented",15,2,"Face cleaner",1,1,3,1
"FQfN6485","paperclip","segmented",15,4,"fashion into a bracelet",4,3,1,2
"FQfN6485","paperclip","segmented",15,3,"fashion into a ring",4,3,2,2
"K4mPL0l6","paperclip","unsegmented",10,2,"figure",1,3,1,1
"o65EfhY5","paperclip","segmented",10,5,"finger extender",NA,2,1,3
"y86m7fS0","paperclip","segmented",10,5,"finger nail cleaner",1,3,2,2
"6gNs42nt","paperclip","segmented",15,1,"fingernail cleaner",1,3,2,2
"ec4h4OE3","paperclip","segmented",10,4,"fingernail cleaner",1,3,2,2
"euaMDyU7","paperclip","segmented",15,2,"fingernail cleaner",1,3,2,2
"K883nL64","paperclip","segmented",5,2,"fingernail cleaner",1,3,2,2
"Lec2y841","paperclip","segmented",15,2,"fish hook",4,4,2,2
"O3A01apk","paperclip","unsegmented",5,2,"fishing hook",4,4,2,2
"D51VgBRW","paperclip","unsegmented",15,7,"fishing lure",4,4,2,2
"435BgI61","paperclip","unsegmented",15,5,"fix a broken necklace",4,2,2,2
"128l3MK0","paperclip","unsegmented",15,4,"fix an electrical circuit",5,5,2,2
"6gNs42nt","paperclip","segmented",15,5,"fix broken necklace",4,2,2,2
"25D5c5m2","paperclip","segmented",10,2,"fix your glasses",4,3,2,2
"dmIgzB0X","paperclip","unsegmented",5,8,"fixing a zipper pull",4,4,2,2
"82WWAsi8","paperclip","unsegmented",10,2,"fixing your pants temporarily",4,3,2,2
"3vBR15MO","paperclip","unsegmented",5,4,"Fold it for Art",4,3,1,1
"Vbp87P2F","paperclip","segmented",10,2,"for a folder",1,1,1,1
"4No6x5W4","paperclip","unsegmented",5,4,"for jewerl",4,3,2,1
"4No6x5W4","paperclip","unsegmented",5,5,"for unlocking a lock",3,3,1,2
"K5j720Ym","paperclip","segmented",5,1,"for write msgs",2,3,2,1
"UUx7idJG","paperclip","segmented",15,6,"force CD eject from computer",5,4,2,2
"omDXbFdx","paperclip","unsegmented",5,4,"Frisbee",1,1,4,2
"K4mPL0l6","paperclip","unsegmented",10,3,"fuse",5,2,3,1
"3fDKk8eo","paperclip","segmented",10,3,"get a cd out of the cd player",5,4,2,2
"Ccn6Y56v","paperclip","unsegmented",10,3,"get dirt out of your fingernails",1,3,2,2
"IT6ztEpf","paperclip","segmented",15,2,"Get something out a",NA,NA,1,1
"128l3MK0","paperclip","unsegmented",15,3,"get something out of a very small space",2,3,1,1
"9Vtree6i","paperclip","segmented",15,1,"glasses hanger",4,5,2,2
"77sZintI","paperclip","unsegmented",15,6,"grabbing something slightly out of reach",2,5,2,1
"EgFS0lAM","paperclip","segmented",5,5,"great for mai",NA,NA,NA,1
"o65EfhY5","paperclip","segmented",10,7,"gun for rubberbands",5,4,3,2
"l976kyQ1","paperclip","segmented",10,5,"hair accessory",3,3,2,1
"EqZE362k","paperclip","unsegmented",15,3,"hair barrette",3,3,2,2
"FdOMf9nm","paperclip","segmented",15,2,"hair barrette",3,3,2,2
"zI5OmzVB","paperclip","segmented",10,4,"hair barrette",3,3,2,2
"b52wN2J4","paperclip","segmented",10,1,"hair barrette ",3,3,2,2
"2U79djJ6","paperclip","unsegmented",10,3,"hair clip",3,3,2,2
"3fDKk8eo","paperclip","segmented",10,4,"hair clip",3,3,2,2
"4HiPU3ch","paperclip","unsegmented",15,1,"Hair clip",3,3,2,2
"7Lo5m3w8","paperclip","unsegmented",15,7,"Hair clip",3,3,2,2
"LUdy216o","paperclip","unsegmented",15,4,"Hair clip",3,3,2,2
"VRjUpNjw","paperclip","segmented",5,1,"Hair clip",3,3,2,2
"zdyei4a2","paperclip","unsegmented",10,2,"hair clip",3,3,2,2
"714kNX5M","paperclip","segmented",5,1,"hair clip / barrete",3,3,2,2
"8exnS05w","paperclip","segmented",10,1,"hair pin",3,3,2,2
"M01qi2vc","paperclip","unsegmented",10,3,"hair pin",3,3,2,2
"88ft50be","paperclip","segmented",15,10,"hair styling tool",4,3,2,2
"G1u8Znj3","paperclip","unsegmented",10,2,"hair tie",4,3,2,2
"RnAQze77","paperclip","segmented",15,5,"hair tie ",4,3,2,2
"Rl8IcXro","paperclip","segmented",15,5,"Handcuff key",5,4,1,2
"9mlyecrJ","paperclip","unsegmented",5,2,"hang decorations on Christmas Tree",4,3,1,2
"hY8DrnuO","paperclip","unsegmented",5,2,"hang item from thumb tac on wall or cork board",5,1,1,2
"Y14N0CIL","paperclip","unsegmented",10,2,"Hang ornaments on a Christmas tree",4,3,1,2
"VRjUpNjw","paperclip","segmented",5,2,"Hang pictures",4,3,1,2
"5spKk965","paperclip","segmented",5,3,"Hang something from your keychain",4,3,1,2
"128l3MK0","paperclip","unsegmented",15,7,"hang something with it",4,3,1,1
"c73oB20h","paperclip","unsegmented",10,4,"hang things on axmas tree",4,3,1,2
"1t6sPcAP","paperclip","segmented",15,2,"Hanger",4,3,1,1
"4e855288","paperclip","unsegmented",15,6,"hanger",4,3,1,1
"G1u8Znj3","paperclip","unsegmented",10,4,"hanger or hook",4,4,1,1
"dmIgzB0X","paperclip","unsegmented",5,10,"hanging up things on a wall",4,3,1,1
"714kNX5M","paperclip","segmented",5,8,"head scratcher",2,4,2,2
"euaMDyU7","paperclip","segmented",15,7,"head scratcher",2,4,2,2
"EqZE362k","paperclip","unsegmented",15,1,"hem holder",4,3,2,2
"y86m7fS0","paperclip","segmented",10,7,"hinge",1,3,3,2
"G63FgMsT","paperclip","unsegmented",10,10,"hold",NA,NA,1,1
"OpGVLc2i","paperclip","unsegmented",5,2,"hold a curtain back",3,3,1,2
"3fPP7hT0","paperclip","unsegmented",15,4,"Hold arm onto eyeglasses if they break",4,NA,3,2
"jhX9tFGh","paperclip","unsegmented",15,4,"hold button in place",4,3,3,2
"jZeyKHnS","paperclip","unsegmented",5,7,"hold chicken pieces in satay 7",5,NA,4,2
"3vBR15MO","paperclip","unsegmented",5,6,"Hold Hanging Decorations (on a string)",4,3,2,2
"7Lo5m3w8","paperclip","unsegmented",15,2,"Hold items together",1,1,1,1
"55L6Wwjn","paperclip","segmented",10,2,"hold keys together",2,1,1,1
"10z2wJHQ","paperclip","segmented",5,1,"Hold paper",1,1,1,1
"Y25HD9n2","paperclip","unsegmented",5,1,"Hold paper",1,1,1,1
"4No6x5W4","paperclip","unsegmented",5,1,"hold paper togather",1,1,1,1
"0OZ544o2","paperclip","unsegmented",5,1,"hold paper together",1,1,1,1
"4RcV7Sp1","paperclip","unsegmented",5,2,"hold paper together",1,1,1,1
"7Gm32lak","paperclip","unsegmented",5,3,"hold paper together",1,1,1,1
"SVFD8luX","paperclip","unsegmented",10,1,"hold paper together",1,1,1,1
"Y14N0CIL","paperclip","unsegmented",10,1,"Hold paper together",1,1,1,1
"yi89Nvu5","paperclip","unsegmented",10,2,"Hold paper together",1,1,1,1
"3fPP7hT0","paperclip","unsegmented",15,1,"Hold papers",1,1,1,1
"D51VgBRW","paperclip","unsegmented",15,2,"hold papers",1,1,1,1
"Dw04qHCX","paperclip","segmented",15,1,"hold papers",1,1,1,1
"y5XIy25u","paperclip","unsegmented",5,1,"Hold papers",1,1,1,1
"55L6Wwjn","paperclip","segmented",10,1,"hold papers together",1,1,1,1
"Ccn6Y56v","paperclip","unsegmented",10,1,"hold papers together",1,1,1,1
"ec4h4OE3","paperclip","segmented",10,2,"hold papers together",1,1,1,1
"iC3RI2p2","paperclip","segmented",5,9,"hold papers together",1,1,1,1
"IJcWIf8K","paperclip","segmented",5,2,"hold papers together",1,1,1,1
"jhX9tFGh","paperclip","unsegmented",15,1,"hold papers together",1,1,1,1
"LUdy216o","paperclip","unsegmented",15,1,"Hold papers together",1,1,1,1
"M01qi2vc","paperclip","unsegmented",10,1,"hold papers together",1,1,1,1
"nStEJbi0","paperclip","unsegmented",15,1,"Hold papers together",1,1,1,1
"OpGVLc2i","paperclip","unsegmented",5,1,"hold papers together",1,1,1,1
"uoqxFua9","paperclip","unsegmented",10,1,"Hold papers together",1,1,1,1
"v913q7UQ","paperclip","unsegmented",15,1,"Hold papers together",1,1,1,1
"6gNs42nt","paperclip","segmented",15,7,"hold papers together!",1,1,1,1
"y5XIy25u","paperclip","unsegmented",5,4,"hold potatoe chip bags closed",2,3,1,2
"3vBR15MO","paperclip","unsegmented",5,7,"Hold String Lights (with tape)",5,4,1,2
"hY8DrnuO","paperclip","unsegmented",5,3,"hold sweater in place",4,3,2,2
"FdOMf9nm","paperclip","segmented",15,7,"hold temple to glasses when screw is lost ",4,4,2,2
"0vNR3LcA","paperclip","unsegmented",5,8,"hold things toghether",1,2,1,1
"UUx7idJG","paperclip","segmented",15,1,"hold two wires together",2,3,2,1
"4e855288","paperclip","unsegmented",15,3,"holder",1,2,2,1
"nNBNu992","paperclip","segmented",5,4,"holding on dog ID tag",4,4,2,2
"82WWAsi8","paperclip","unsegmented",10,1,"Holding paper together",1,1,1,1
"C0fi1Rtn","paperclip","segmented",15,2,"Holding paper together",1,1,1,1
"CuN4odhO","paperclip","unsegmented",15,1,"holding paper together",1,1,1,1
"6xuQ1Z9X","paperclip","segmented",15,1,"holding paper together ",1,1,1,1
"3vBR15MO","paperclip","unsegmented",5,1,"Holding Papers",1,1,1,1
"f9V6xJEO","paperclip","segmented",15,1,"holding papers",1,1,1,1
"jC6kp1W5","paperclip","segmented",5,1,"holding papers",1,1,1,1
"nNBNu992","paperclip","segmented",5,1,"holding papers together",1,1,1,1
"uirMt5sS","paperclip","unsegmented",15,5,"holding papers together",1,1,1,1
"y86m7fS0","paperclip","segmented",10,8,"holding papers together",1,1,1,1
"o65EfhY5","paperclip","segmented",10,6,"hole poker",2,2,2,1
"7hi72B6r","paperclip","unsegmented",15,4,"hole punch",2,2,2,1
"K883nL64","paperclip","segmented",5,1,"hole punch",2,2,2,1
"7Ax9AeZ2","paperclip","segmented",10,6,"hole puncher",2,2,2,1
"7Lo5m3w8","paperclip","unsegmented",15,3,"Hole Puncher",2,2,2,1
"euaMDyU7","paperclip","segmented",15,3,"hole puncher",2,2,2,1
"t8r41bz3","paperclip","unsegmented",10,3,"Hole puncher",2,2,2,1
"U4KevCk0","paperclip","unsegmented",15,1,"hook",4,4,1,1
"ZF13l8N3","paperclip","unsegmented",5,1,"hook",4,4,1,1
"EqZE362k","paperclip","unsegmented",15,8,"huller for strawberries",5,4,4,3
"A2I3zLm4","paperclip","segmented",15,8,"Hurt others",1,2,2,1
"A2I3zLm4","paperclip","segmented",15,7,"Hurt yourself ",1,2,2,1
"fpSd88hY","paperclip","segmented",5,5,"if you get enough of them, you could make a paperweight",4,2,3,1
"Dw04qHCX","paperclip","segmented",15,2,"improvised weapon",4,2,1,1
"Dw04qHCX","paperclip","segmented",15,6,"interlink for crafts",4,3,2,1
"EgFS0lAM","paperclip","segmented",5,2,"It is a little known fact that back in the middle ages before modern medical equipment was invented, that physicians actually performed BRAIN surgery with paperclips",5,3,5,5
"EgFS0lAM","paperclip","segmented",5,1,"It is a really good substitute for a lock-pick if you are ever wanting to perform a B&E ",3,3,1,2
"4RcV7Sp1","paperclip","unsegmented",5,3,"itch scratcher",2,4,3,1
"EgFS0lAM","paperclip","segmented",5,3,"Its good for popping eyeballs",1,1,3,2
"iC3RI2p2","paperclip","segmented",5,5,"jewelry",4,3,2,1
"zdyei4a2","paperclip","unsegmented",10,4,"jewelry",4,3,2,1
"4HiPU3ch","paperclip","unsegmented",15,2,"Jewelry Clasp",4,3,2,1
"4RcV7Sp1","paperclip","unsegmented",5,8,"jewelry/necklace",4,2,2,1
"8exnS05w","paperclip","segmented",10,4,"jewlery fastener",4,3,2,1
"1zNzBi5Y","paperclip","unsegmented",10,2,"just twist it up for stress relief",3,4,3,2
"O3A01apk","paperclip","unsegmented",5,8,"keep a bag of chips closed",2,3,1,2
"88ft50be","paperclip","segmented",15,2,"keep bags closed",2,3,1,2
